Datetime,Leg,Team,OBR,Video,Length,People,Description,Tags
2017-10-25 07:59:13,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104943_13-01-171025-veh-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104943_13-01-171025-veh-00002_00002_480x270.jpg""))",,,,
2017-10-25 06:48:04,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104936_13-01-171025-azn-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104936_13-01-171025-azn-00001_00002_480x270.jpg""))",,,,
2017-10-25 02:19:15,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104932_13-01-171025-veh-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104932_13-01-171025-veh-00001_00002_480x270.jpg""))",,,,
2017-10-24 20:19:28,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104923_13-01-171024-mpf-ugf-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104923_13-01-171024-mpf-ugf-00003_00002_480x270.jpg""))",,,,
2017-10-24 20:17:27,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104920_13-01-171024-veh-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104920_13-01-171024-veh-00003_00002_480x270.jpg""))",,,,
2017-10-24 19:40:38,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104911_13-01-171024-dfg-00005_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104911_13-01-171024-dfg-00005_00002_480x270.jpg""))",,,,
2017-10-24 18:36:31,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104903_13-01-171024-azn-00007_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104903_13-01-171024-azn-00007_00002_480x270.jpg""))",,,,
2017-10-24 18:23:58,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104902_13-01-171024-azn-00005_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104902_13-01-171024-azn-00005_00002_480x270.jpg""))",,,,
2017-10-24 18:21:34,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104901_13-01-171024-ttt-00005_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104901_13-01-171024-ttt-00005_00002_480x270.jpg""))",,,,
2017-10-24 18:21:22,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104899_13-01-171024-azn-00006_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104899_13-01-171024-azn-00006_00002_480x270.jpg""))",,,,
